"playerID","tmID","year","off_win_share","def_win_share","win_share","tot_reb_percent","usage_percent","val_over_rep_player","plus_minus","player_eff_rating"
"armstcu01","FTW",1949,-0.1,3.6,3.5,NA,NA,NA,NA,NA
"barkecl01","INO",1949,1.6,0.6,2.2,NA,NA,NA,NA,NA
"barnhle01","CHS",1949,0.9,2.8,3.6,NA,NA,NA,NA,NA
"barteed01","DNN",1949,-0.5,-0.1,-0.6,NA,NA,NA,NA,NA
"barteed01","NYK",1949,0,0,0,NA,NA,NA,NA,NA
"beardra01","INO",1949,3.6,1.2,4.8,NA,NA,NA,NA,NA
"bercege01","TRI",1949,-0.1,0,-0.1,NA,NA,NA,NA,NA
"blackch01","FTW",1949,-0.7,2.2,1.5,NA,NA,NA,NA,NA
"blackch01","AND",1949,-1.5,2.8,1.3,NA,NA,NA,NA,NA
"bobbne01","PHW",1949,0.4,1.3,1.8,NA,NA,NA,NA,NA
"bornhja01","PHW",1949,-0.7,1.5,0.8,NA,NA,NA,NA,NA
"borylvi01","NYK",1949,2.6,1.4,3.9,NA,NA,NA,NA,NA
"bovendo01","WAT",1949,4.4,-0.7,3.8,NA,NA,NA,NA,NA
"boykoha01","WAT",1949,6,-0.7,5.3,NA,NA,NA,NA,NA
"bradljo01","CHS",1949,-1,0.7,-0.3,NA,NA,NA,NA,NA
"brannbo01","SHE",1949,2.1,-0.5,1.6,NA,NA,NA,NA,NA
"braunca01","NYK",1949,5.2,1.9,7.2,NA,NA,NA,NA,NA
"brianfr01","AND",1949,3.6,5.6,9.2,NA,NA,NA,NA,NA
"brookpr01","ROC",1949,0.5,0.1,0.5,NA,NA,NA,NA,NA
"brownbo01","DNN",1949,2.1,-0.9,1.2,NA,NA,NA,NA,NA
"brownji01","DNN",1949,0.1,-0.1,0,NA,NA,NA,NA,NA
"budkowa01","BLB",1949,0.7,2,2.7,NA,NA,NA,NA,NA
"burmaja01","SHE",1949,0.1,-0.4,-0.4,NA,NA,NA,NA,NA
"byrneto01","BLB",1949,-0.5,0.9,0.3,NA,NA,NA,NA,NA
"calhobi01","ROC",1949,3,1.5,4.5,NA,NA,NA,NA,NA
"carlsdo01","MNL",1949,0.7,1.9,2.6,NA,NA,NA,NA,NA
"carpebo01","FTW",1949,2.2,2.8,5,NA,NA,NA,NA,NA
"carteja01","DNN",1949,0.1,-0.1,0,NA,NA,NA,NA,NA
"carteja01","AND",1949,0.2,0.5,0.7,NA,NA,NA,NA,NA
"cervial01","SYR",1949,5.9,3.4,9.3,NA,NA,NA,NA,NA
"chanejo01","TRI",1949,-0.1,0.1,0,NA,NA,NA,NA,NA
"chanejo01","SHE",1949,0,0,-0.1,NA,NA,NA,NA,NA
"chollle01","SYR",1949,0.1,0.8,0.9,NA,NA,NA,NA,NA
"clossbi01","AND",1949,-0.5,4.9,4.4,NA,NA,NA,NA,NA
"cloydpa01","BLB",1949,-0.1,0,-0.1,NA,NA,NA,NA,NA
"cloydpa01","WAT",1949,-0.1,0,-0.1,NA,NA,NA,NA,NA
"colemja01","ROC",1949,1.9,2.5,4.3,NA,NA,NA,NA,NA
"cookbo01","SHE",1949,2.1,-0.3,1.9,NA,NA,NA,NA,NA
"corlera01","SYR",1949,-0.3,1.6,1.2,NA,NA,NA,NA,NA
"cottoja01","DNN",1949,-1,-0.5,-1.5,NA,NA,NA,NA,NA
"crockdi01","DNN",1949,-0.9,-0.8,-1.7,NA,NA,NA,NA,NA
"crossch01","PHW",1949,-0.6,2.7,2.1,NA,NA,NA,NA,NA
"currafr01","ROC",1949,5.5,1.1,6.6,NA,NA,NA,NA,NA
"dardeji01","DNN",1949,0.1,-0.3,-0.2,NA,NA,NA,NA,NA
"daviebo01","ROC",1949,4.7,2.9,7.7,NA,NA,NA,NA,NA
"dilloho01","WSC",1949,-0.5,0.2,-0.4,NA,NA,NA,NA,NA
"doddea01","DNN",1949,-0.3,0,-0.3,NA,NA,NA,NA,NA
"dolhojo01","BLB",1949,1.4,1.6,3,NA,NA,NA,NA,NA
"dollbo01","BOS",1949,0.7,0.9,1.6,NA,NA,NA,NA,NA
"donovha01","NYK",1949,0.3,0.7,1,NA,NA,NA,NA,NA
"duncaan01","ROC",1949,2,1.4,3.4,NA,NA,NA,NA,NA
"eddledi01","TRI",1949,1.6,2.1,3.7,NA,NA,NA,NA,NA
"engluge01","BOS",1949,1.8,0.5,2.3,NA,NA,NA,NA,NA
"engluge01","TRI",1949,1.5,0.4,1.9,NA,NA,NA,NA,NA
"evansbo01","INO",1949,-0.8,0.5,-0.3,NA,NA,NA,NA,NA
"ezersjo01","BLB",1949,-0.2,0.8,0.7,NA,NA,NA,NA,NA
"ezersjo01","BOS",1949,-0.5,0.3,-0.2,NA,NA,NA,NA,NA
"feeribo01","WSC",1949,2.1,1.6,3.6,NA,NA,NA,NA,NA
"feigege01","BLB",1949,-0.5,0.1,-0.4,NA,NA,NA,NA,NA
"ferriar01","MNL",1949,0.2,2.3,2.6,NA,NA,NA,NA,NA
"fleisje01","PHW",1949,-0.5,2.1,1.6,NA,NA,NA,NA,NA
"fulksjo01","PHW",1949,-4.4,3.7,-0.8,NA,NA,NA,NA,NA
"gaborbi01","SYR",1949,0.7,2.8,3.5,NA,NA,NA,NA,NA
"gaineel01","WAT",1949,-0.2,-0.1,-0.3,NA,NA,NA,NA,NA
"gallaha01","NYK",1949,6.5,1.4,7.8,NA,NA,NA,NA,NA
"gardnve01","PHW",1949,2.2,3.6,5.9,NA,NA,NA,NA,NA
"gatesfr01","AND",1949,-1.7,3,1.3,NA,NA,NA,NA,NA
"gibsode01","TRI",1949,1.7,1,2.7,NA,NA,NA,NA,NA
"gibsoho01","BOS",1949,0.1,0,0.1,NA,NA,NA,NA,NA
"gibsoho01","WAT",1949,0.1,-0.2,-0.1,NA,NA,NA,NA,NA
"gilmuch01","WSC",1949,2.3,2,4.3,NA,NA,NA,NA,NA
"glickno01","MNL",1949,0,0,0.1,NA,NA,NA,NA,NA
"gordopa01","BLB",1949,-0.1,0,-0.1,NA,NA,NA,NA,NA
"grabojo01","CHS",1949,-0.6,1.2,0.6,NA,NA,NA,NA,NA
"grantbu01","MNL",1949,-0.1,0.6,0.5,NA,NA,NA,NA,NA
"gratedo01","SHE",1949,0,0,0,NA,NA,NA,NA,NA
"grozaal01","INO",1949,16.5,1.4,17.9,NA,NA,NA,NA,NA
"guokaal01","DNN",1949,-0.7,-0.4,-1.1,NA,NA,NA,NA,NA
"guokaal01","PHW",1949,-0.2,0.3,0.1,NA,NA,NA,NA,NA
"hahnro01","CHS",1949,-0.1,0.1,0.1,NA,NA,NA,NA,NA
"halbech01","WSC",1949,2.4,1.2,3.6,NA,NA,NA,NA,NA
"halebr01","INO",1949,4.1,1.1,5.1,NA,NA,NA,NA,NA
"hamilda01","WAT",1949,-0.2,-0.1,-0.3,NA,NA,NA,NA,NA
"hannual01","SYR",1949,2,3.2,5.1,NA,NA,NA,NA,NA
"hargijo01","AND",1949,4.8,3.6,8.4,NA,NA,NA,NA,NA
"harribo01","FTW",1949,2.1,3,5,NA,NA,NA,NA,NA
"harribo02","MNL",1949,0.7,2.7,3.5,NA,NA,NA,NA,NA
"hassebi01","TRI",1949,0.6,0.5,1.1,NA,NA,NA,NA,NA
"hassebi01","MNL",1949,-0.6,1.3,0.7,NA,NA,NA,NA,NA
"hawkima01","INO",1949,-0.5,0.4,-0.1,NA,NA,NA,NA,NA
"henrybi01","FTW",1949,0.6,1.3,1.9,NA,NA,NA,NA,NA
"henrybi01","TRI",1949,0.4,0.2,0.6,NA,NA,NA,NA,NA
"hermabi01","DNN",1949,0.1,-0.1,0.1,NA,NA,NA,NA,NA
"hermskl01","CHS",1949,-0.2,3.3,3,NA,NA,NA,NA,NA
"hertzso01","BOS",1949,-0.9,1.6,0.7,NA,NA,NA,NA,NA
"hoffmpa01","BLB",1949,2,2.1,4.1,NA,NA,NA,NA,NA
"hollajo01","INO",1949,0.1,1.1,1.2,NA,NA,NA,NA,NA
"holzmre01","ROC",1949,0.9,1.7,2.5,NA,NA,NA,NA,NA
"jamesge01","NYK",1949,-0.2,0.3,0.1,NA,NA,NA,NA,NA
"janotho01","BLB",1949,0.1,0.1,0.2,NA,NA,NA,NA,NA
"jarosto01","MNL",1949,-0.4,1.7,1.3,NA,NA,NA,NA,NA
"jeannbu01","BLB",1949,1.9,0.7,2.6,NA,NA,NA,NA,NA
"johnsar01","ROC",1949,4.8,2.4,7.2,NA,NA,NA,NA,NA
"johnsra01","AND",1949,-0.4,2.8,2.4,NA,NA,NA,NA,NA
"johnsra01","FTW",1949,-1.2,1.7,0.5,NA,NA,NA,NA,NA
"joneswa01","INO",1949,4.5,1.4,5.9,NA,NA,NA,NA,NA
"jorgeno01","SHE",1949,4.1,-0.3,3.8,NA,NA,NA,NA,NA
"kaftage01","BOS",1949,2.3,1,3.4,NA,NA,NA,NA,NA
"katkale01","WSC",1949,-1.2,1,-0.2,NA,NA,NA,NA,NA
"kerrija01","TRI",1949,0.1,0.1,0.2,NA,NA,NA,NA,NA
"kerrija01","FTW",1949,1.3,2.6,3.9,NA,NA,NA,NA,NA
"kinnebo01","BOS",1949,3.2,1.6,4.8,NA,NA,NA,NA,NA
"kirkwa01","AND",1949,0,1.3,1.3,NA,NA,NA,NA,NA
"kirkwa01","TRI",1949,0.3,0.7,1.1,NA,NA,NA,NA,NA
"klierle01","FTW",1949,0.1,2.9,3,NA,NA,NA,NA,NA
"kluehdu01","DNN",1949,1.9,-0.3,1.6,NA,NA,NA,NA,NA
"kluehdu01","FTW",1949,1.4,0.6,2.1,NA,NA,NA,NA,NA
"knorele01","BLB",1949,-0.1,0,0,NA,NA,NA,NA,NA
"komenmi01","AND",1949,-3.7,5.2,1.4,NA,NA,NA,NA,NA
"kubiale01","WAT",1949,1.3,-0.8,0.5,NA,NA,NA,NA,NA
"kudelfr01","CHS",1949,-0.4,2.8,2.4,NA,NA,NA,NA,NA
"lautewa01","SHE",1949,-1.1,-0.2,-1.3,NA,NA,NA,NA,NA
"lavelto01","BOS",1949,3.4,0.8,4.2,NA,NA,NA,NA,NA
"leedeed01","BOS",1949,3.2,1.3,4.5,NA,NA,NA,NA,NA
"levanan01","SYR",1949,-0.2,2,1.8,NA,NA,NA,NA,NA
"lewisfr01","BLB",1949,-1.1,0.2,-0.9,NA,NA,NA,NA,NA
"lewisfr01","PHW",1949,-0.3,0.3,0,NA,NA,NA,NA,NA
"livinro01","BLB",1949,-0.3,0.4,0.1,NA,NA,NA,NA,NA
"livinro01","PHW",1949,-1.5,2.9,1.3,NA,NA,NA,NA,NA
"loganjo01","STB",1949,3.4,0.9,4.3,NA,NA,NA,NA,NA
"lumppra01","NYK",1949,0.9,0.8,1.7,NA,NA,NA,NA,NA
"macaued01","STB",1949,9.7,0.9,10.6,NA,NA,NA,NA,NA
"macknjo01","SYR",1949,0.9,1.8,2.8,NA,NA,NA,NA,NA
"mahnkjo01","FTW",1949,0,0.1,0.1,NA,NA,NA,NA,NA
"mahnkjo01","TRI",1949,-1.6,1,-0.6,NA,NA,NA,NA,NA
"mahnkjo01","BOS",1949,-1,0.5,-0.5,NA,NA,NA,NA,NA
"mandijo01","WSC",1949,0.1,0.3,0.4,NA,NA,NA,NA,NA
"mandijo01","BLB",1949,-0.2,0,-0.1,NA,NA,NA,NA,NA
"martisl01","MNL",1949,0.9,2.6,3.5,NA,NA,NA,NA,NA
"maughar01","STB",1949,-1.1,0.6,-0.5,NA,NA,NA,NA,NA
"mazzama01","SHE",1949,0,-0.1,0,NA,NA,NA,NA,NA
"mccarmi01","BLB",1949,0,0,0,NA,NA,NA,NA,NA
"mccarmi01","STB",1949,-0.1,0,-0.1,NA,NA,NA,NA,NA
"mcguidi01","NYK",1949,3.4,1.9,5.3,NA,NA,NA,NA,NA
"mckinho01","WSC",1949,-1.5,1.7,0.2,NA,NA,NA,NA,NA
"mcmulma01","INO",1949,-0.4,0.9,0.6,NA,NA,NA,NA,NA
"mehendi01","WAT",1949,6.3,-0.7,5.6,NA,NA,NA,NA,NA
"menkeke01","WAT",1949,0,0,0,NA,NA,NA,NA,NA
"miasest01","CHS",1949,2.8,2.9,5.8,NA,NA,NA,NA,NA
"mikaned01","CHS",1949,-0.4,0.6,0.2,NA,NA,NA,NA,NA
"mikaned01","ROC",1949,-0.2,0.8,0.6,NA,NA,NA,NA,NA
"mikange01","MNL",1949,15.3,5.8,21.1,NA,NA,NA,NA,NA
"mikkeve01","MNL",1949,5.6,3.6,9.2,NA,NA,NA,NA,NA
"miksial01","WAT",1949,0.2,0,0.1,NA,NA,NA,NA,NA
"mitchmu01","AND",1949,0,0,0,NA,NA,NA,NA,NA
"mogusle01","PHW",1949,5.6,2.4,8,NA,NA,NA,NA,NA
"morrima01","SHE",1949,4.4,-0.4,4.1,NA,NA,NA,NA,NA
"mullajo01","BOS",1949,-0.9,0.3,-0.6,NA,NA,NA,NA,NA
"nagelje01","FTW",1949,-0.3,0.2,-0.1,NA,NA,NA,NA,NA
"nichoja01","WSC",1949,3.2,1.4,4.5,NA,NA,NA,NA,NA
"nichoja01","TRI",1949,1.5,0.6,2.1,NA,NA,NA,NA,NA
"niemiri01","FTW",1949,-0.2,1,0.8,NA,NA,NA,NA,NA
"niemiri01","AND",1949,0.8,1.1,1.9,NA,NA,NA,NA,NA
"noelpa01","NYK",1949,0,0.8,0.9,NA,NA,NA,NA,NA
"nolanji01","PHW",1949,-0.3,0.2,-0.2,NA,NA,NA,NA,NA
"norlajo01","WSC",1949,-0.1,0.7,0.6,NA,NA,NA,NA,NA
"nostrge01","BOS",1949,-0.1,0.3,0.2,NA,NA,NA,NA,NA
