year,playerid,name,votes
1975,fraziwa01,Walt Frazier,91621
1975,monroea01,Earl Monroe,52637
1975,whitejo01,Jo Jo White,49346
1975,digreer01,Ernie DiGregorio,37366
1975,maravpe01,Pete Maravich,26594
1975,cheniph01,Phil Chenier,20491
1975,smithra01,Randy Smith,16029
1975,chanedo01,Don Chaney,15315
1975,murphca01,Calvin Murphy,10561
1975,carrau01,Austin Carr,9875
1975,havlijo01,John Havlicek,87715
1975,hayesel01,Elvin Hayes,52444
1975,mcmilji01,Jim McMillian,36856
1975,silaspa01,Paul Silas,34145
1975,bradlbi01,Bill Bradley,28000
1975,heardga01,Gar Heard,21624
1975,hudsolo01,Lou Hudson,16995
1975,tomjaru01,Rudy Tomjanovich,14017
1975,jacksph01,Phil Jackson,13995
1975,riordmi01,Mike Riordan,10866
1975,mcadobo01,Bob McAdoo,98325
1975,cowenda01,Dave Cowens,62156
1975,unselwe01,Wes Unseld,13983
1975,leecl01,Clyde Lee,4873
1975,pattest01,Steve Patterson,3680
1975,goodrga01,Gail Goodrich,58986
1975,architi01,Tiny Archibald,46724
1975,scottch01,Charlie Scott,40736
1975,allenlu01,Lucius Allen,34339
1975,bingda01,Dave Bing,31951
1975,priceji01,Jim Price,28120
1975,vanardi01,Dick Van Arsdale,19395
1975,vanlino01,Norm Van Lier,17373
1975,sloanje01,Jerry Sloan,13494
1975,petrige01,Geoff Petrie,13015
1975,barryri01,Rick Barry,60547
1975,haywosp01,Spencer Haywood,50302
1975,dandrbo01,Bob Dandridge,36318
1975,hawkico01,Connie Hawkins,28263
1975,lovebo01,Bob Love,27917
1975,wickssi01,Sidney Wicks,25527
1975,erickke01,Keith Erickson,23171
1975,perrycu01,Curtis Perry,22574
1975,hairsha01,Happy Hairston,18934
1975,walkech01,Chet Walker,14229
1975,abdulka01,Kareem Abdul-Jabbar,77832
1975,laniebo01,Bob Lanier,65917
1975,thurmna01,Nate Thurmond,14229
1975,raycl01,Clifford Ray,8161
1975,smithel01,Elmore Smith,5215
1976,fraziwa01,Walt Frazier,118303
1976,bingda01,Dave Bing,75836
1976,maravpe01,Pete Maravich,70395
1976,whitejo01,Jo Jo White,61208
1976,cheniph01,Phil Chenier,48457
1976,digreer01,Ernie DiGregorio,46315
1976,smithra01,Randy Smith,42916
1976,murphca01,Calvin Murphy,42786
1976,havlijo01,John Havlicek,135273
1976,hayesel01,Elvin Hayes,124035
1976,drewjo01,John Drew,73609
1976,mcmilji01,Jim McMillian,56621
1976,tomjaru01,Rudy Tomjanovich,43524
1976,haywosp01,Spencer Haywood,41062
1976,heardga01,Gar Heard,37902
1976,silaspa01,Paul Silas,34368
1976,mcadobo01,Bob McAdoo,131729
1976,cowenda01,Dave Cowens,75311
1976,mcginge01,George McGinnis,59750
1976,choneji01,Jim Chones,32753
1976,unselwe01,Wes Unseld,22238
1976,wintebr01,Brian Winters,108863
1976,architi01,Tiny Archibald,98772
1976,priceji01,Jim Price,90862
1976,porteke01,Kevin Porter,63813
1976,westppa01,Paul Westphal,63744
1976,vanardi01,Dick Van Arsdale,55609
1976,mengejo01,John Mengelt,38223
