"tmID","year","per_rank_attend"
"PHW",1946,1
"BOS",1946,0.5
"NYK",1946,0
"PHW",1947,1
"BOS",1947,0.5
"NYK",1947,0
"ROC",1948,1
"PHW",1948,0.8
"NYK",1948,0.6
"BOS",1948,0.4
"FTW",1948,0.2
"MNL",1948,0
"ROC",1949,1
"NYK",1949,0.857142857142857
"PHW",1949,0.714285714285714
"BOS",1949,0.571428571428571
NA,1949,0.428571428571429
"FTW",1949,0.285714285714286
"MNL",1949,0.142857142857143
"SYR",1949,0
"FTW",1950,1
"SYR",1950,0.857142857142857
"MNL",1950,0.714285714285714
"TRI",1950,0.571428571428571
"PHW",1950,0.428571428571429
"BOS",1950,0.285714285714286
"NYK",1950,0.142857142857143
"ROC",1950,0
"PHW",1951,1
"BOS",1951,0.857142857142857
"NYK",1951,0.714285714285714
"MLH",1951,0.571428571428571
"FTW",1951,0.428571428571429
"MNL",1951,0.285714285714286
"SYR",1951,0.142857142857143
"ROC",1951,0
"MLH",1952,1
"NYK",1952,0.857142857142857
"PHW",1952,0.714285714285714
"BOS",1952,0.571428571428571
"FTW",1952,0.428571428571429
"MNL",1952,0.285714285714286
"SYR",1952,0.142857142857143
"ROC",1952,0
"PHW",1953,1
"NYK",1953,0.857142857142857
"BOS",1953,0.714285714285714
"FTW",1953,0.571428571428571
"MLH",1953,0.428571428571429
"MNL",1953,0.285714285714286
"SYR",1953,0.142857142857143
"ROC",1953,0
"PHW",1954,1
"ROC",1954,0.857142857142857
"NYK",1954,0.714285714285714
"BOS",1954,0.571428571428571
"FTW",1954,0.428571428571429
"MLH",1954,0.285714285714286
"MNL",1954,0.142857142857143
"SYR",1954,0
"SYR",1955,1
"STL",1955,0.857142857142857
"NYK",1955,0.714285714285714
"PHW",1955,0.571428571428571
"BOS",1955,0.428571428571429
"FTW",1955,0.285714285714286
"MNL",1955,0.142857142857143
"ROC",1955,0
"STL",1956,1
"PHW",1956,0.857142857142857
"BOS",1956,0.714285714285714
"NYK",1956,0.571428571428571
"SYR",1956,0.428571428571429
"FTW",1956,0.285714285714286
"ROC",1956,0.142857142857143
"MNL",1956,0
"STL",1957,1
"PHW",1957,0.857142857142857
"SYR",1957,0.714285714285714
"NYK",1957,0.571428571428571
"BOS",1957,0.428571428571429
"MNL",1957,0.285714285714286
"CIN",1957,0.142857142857143
"DET",1957,0
"STL",1958,1
"PHW",1958,0.857142857142857
"MNL",1958,0.714285714285714
"NYK",1958,0.571428571428571
"SYR",1958,0.428571428571429
"BOS",1958,0.285714285714286
"DET",1958,0.142857142857143
"CIN",1958,0
"STL",1959,1
"NYK",1959,0.857142857142857
"PHW",1959,0.714285714285714
"SYR",1959,0.571428571428571
"BOS",1959,0.428571428571429
"MNL",1959,0.285714285714286
"DET",1959,0.142857142857143
"CIN",1959,0
"STL",1960,1
"SYR",1960,0.857142857142857
"NYK",1960,0.714285714285714
"CIN",1960,0.571428571428571
"PHW",1960,0.428571428571429
"BOS",1960,0.285714285714286
"DET",1960,0.142857142857143
"LAL",1960,0
"STL",1961,1
"SYR",1961,0.875
"NYK",1961,0.75
"PHW",1961,0.625
"BOS",1961,0.5
"CIN",1961,0.375
"CHP",1961,0.25
"DET",1961,0.125
"LAL",1961,0
"SYR",1962,1
"STL",1962,0.875
"CHZ",1962,0.75
"BOS",1962,0.625
"NYK",1962,0.5
"LAL",1962,0.375
"CIN",1962,0.25
"DET",1962,0.125
"SFW",1962,0
"STL",1963,1
"CIN",1963,0.875
"LAL",1963,0.75
"NYK",1963,0.625
"BOS",1963,0.5
"BAL",1963,0.375
"PHI",1963,0.25
"DET",1963,0.125
"SFW",1963,0
"STL",1964,1
"LAL",1964,0.875
"NYK",1964,0.75
"BOS",1964,0.625
"CIN",1964,0.5
"BAL",1964,0.375
"PHI",1964,0.25
"DET",1964,0.125
"SFW",1964,0
"STL",1965,1
"SFW",1965,0.875
"LAL",1965,0.75
"NYK",1965,0.625
"CIN",1965,0.5
"BOS",1965,0.375
"PHI",1965,0.25
"BAL",1965,0.125
"DET",1965,0
"SFW",1966,1
"STL",1966,0.888888888888889
"NYK",1966,0.777777777777778
"BOS",1966,0.666666666666667
"LAL",1966,0.555555555555556
"PHI",1966,0.444444444444444
"CHI",1966,0.333333333333333
"DET",1966,0.222222222222222
"CIN",1966,0.111111111111111
"BAL",1966,0
"NYK",1967,1
"LAL",1967,0.954545454545455
"STL",1967,0.909090909090909
"DNR",1967,0.863636363636364
"BOS",1967,0.818181818181818
"DET",1967,0.772727272727273
"INA",1967,0.727272727272727
"PHI",1967,0.681818181818182
"CHI",1967,0.636363636363636
"BAL",1967,0.590909090909091
"SEA",1967,0.545454545454545
"CIN",1967,0.5
"NJA",1967,0.454545454545455
"SFW",1967,0.409090909090909
"SDR",1967,0.363636363636364
"MNM",1967,0.318181818181818
"KEN",1967,0.272727272727273
"NOB",1967,0.227272727272727
"PTP",1967,0.181818181818182
"HSM",1967,0.136363636363636
"DLC",1967,0.0909090909090909
